ID,Severity,Category,Route,File,Problem,Impact,Evidence,Recommendation,EstimatedEffort,Status
MPR-001,P0 RELEASE BLOCKER,Authentication,All app routes,src/routes/auth.tsx,Production identity is not yet backed by a real provider even though local server session enforcement now exists,Identity is not production-trustworthy until a real provider and durable sessions are connected,"Phase D1 added verified local server sessions, logout/session-expiry enforcement, and auth/session tests passing 21/21 in reports/backend/D1-AUTH-REVIEW.md; production identity provider is still absent",Implement production identity provider and durable server session verification before release,Large,REQUIRES BACKEND
MPR-002,P0 RELEASE BLOCKER,Authorization,All private resources,src/lib,Auth D1 D2 D3 D4 Gather and D5 Chat are now server-enforced locally but notifications and account lifecycle still lack complete backend authorization,Production release would still expose unmigrated domains without full backend enforcement,"D1 server session boundary is verified, D2 user/friends/privacy is server-backed, D3 presence is server-backed, D4 Gather owner/co-host/invitee authorization is server-backed, and D5 Chat membership/send enforcement is server-backed; reports/backend/D5-REVIEW.md; full E2E 141/141 on August 9, 2026",Finish backend authorization for notifications and lifecycle domains while keeping the current server contracts,Large,PARTIALLY FIXED
MPR-003,P1 CRITICAL,Privacy,Presence/Gather,src/lib/presence-store.tsx;src/lib/gather-store.tsx,Presence and Gather are server-authoritative only in the dev/test adapter and are not production-durable,Prototype social/location state no longer relies on client authority but still lacks durable backend persistence,"D3 moved Presence authority behind authenticated server repositories and D4 moved Gather authority behind authenticated server repositories; reports/backend/07-presence-architecture.md; reports/backend/08-gather-backend.md; reports/backend/D4-REVIEW.md",Move sensitive sessions presence Gather and privacy state to durable server storage with encrypted-at-rest controls,Medium,PARTIALLY FIXED
MPR-004,P1 CRITICAL,Location Presence,/nearby,src/lib/presence-store.tsx,Location permission and watcher lifecycle are authoritative only in the dev/test backend model and still use a simulated provider,Presence behavior is now server-enforced locally but cannot yet be trusted as a production mobile geolocation stack,"D3 now unpublishes Nearby on permission loss, keeps friend snapshots explicit, applies TTL cleanup, and passes targeted/backend/full-E2E validation; production browser/native geolocation lifecycle handling is still pending",Implement real geolocation watcher Permissions API listeners stale-position policy and production unpublish flow,Large,PARTIALLY FIXED
MPR-005,P1 CRITICAL,Blocking Reporting,/profile/$id /gather /chat,src/lib,Block/report is only partially backend-enforced,Profile friends groups privacy and block now use server-backed D2 enforcement and D3 D4 D5 consume those block rules, but notifications and moderation are not yet fully authoritative,"D2 moved block/privacy/report compatibility behind src/lib/social-repositories.server.ts and src/lib/privacy-store.tsx; D3 enforces block on Nearby and friend snapshots; D4 enforces block during Gather audience resolution/access; D5 enforces block on protected chat reads and sends",Extend block/report enforcement and moderation workflow across notifications and backend admin flows,Large,PARTIALLY FIXED
MPR-006,P1 CRITICAL,Account Lifecycle,Settings/Profile,src/routes/settings.privacy.tsx,Logout now revokes the local server session but account deletion is still not a real backend lifecycle flow,Users can sign out locally but cannot yet complete durable deletion/export/retention workflows,"Phase D1 logout now revokes the active session and clears the cookie; auth-session.spec.ts passes 21/21 including logout and browser Back. Account deletion remains a pending backend request.",Implement durable account deletion export retention and background lifecycle jobs,Large,PARTIALLY FIXED
MPR-007,P1 CRITICAL,Resource Privacy,/gather/$id /chat/$id /profile/$id,src/routes,Private Gather and Chat deep links now fail closed with server-backed visibility while some other domains still need the same treatment,Private resource loading is improved but not yet universal across every private domain,"D4 Gather detail/manage routes fail closed against authorized server state and D5 Chat conversation loaders now require authenticated participant membership; reports/backend/D5-REVIEW.md; full E2E 141/141 on August 9, 2026",Move the remaining private resource loaders to authorized backend data sources with private 404/403 policy,Large,PARTIALLY FIXED
MPR-008,P1 CRITICAL,Chat,/chat/$id,src/routes/chat.$id.tsx,Chat now has local server-backed access control membership enforcement reload persistence and retry-safe send but remains dev/test only,Messaging semantics are now authoritative locally but still lack production durability realtime delivery and abuse/moderation infrastructure,"D5 introduced authenticated Chat repositories conversation participants message persistence in the local adapter block-aware conversation access idempotent send and targeted D5 coverage 8/8; reports/backend/09-chat-backend.md; reports/backend/D5-REVIEW.md",Move Chat storage to the production database and add production realtime delivery abuse reporting and encryption-at-rest,Large,PARTIALLY FIXED
MPR-009,P1 CRITICAL,Notifications,/notifications,src/routes/notifications.tsx,Notifications are local/mock and not delivered through a trusted channel,Users may miss privacy/security critical notices and push copy is unenforced,"Notifications now filter by authenticated recipient and block state through canViewNotification; repository interface added for future backend",Implement backend notification delivery dedupe read-state deep links and privacy-safe push templates,Large,REQUIRES BACKEND
MPR-010,P1 CRITICAL,Location Privacy,/nearby,src/lib/presence-store.tsx,Presence stop/revoke and stale Nearby cleanup are server-enforced only in the dev/test adapter,Production strangers could still see stale presence without durable multi-instance backend cleanup,"D3 now provides authenticated stopPresence server cleanup permission-loss unpublish and TTL expiry defense; canonical D3 flow 9/9 and full E2E 141/141 passed on 2026-08-09",Add durable transactional stop/unpublish semantics on the production database and realtime stack,Medium,PARTIALLY FIXED
