ID,Area,Severity,Status,Summary,Evidence,NextAction
AUTH-001,Authentication,P0,REQUIRES PRODUCTION IDENTITY PROVIDER,Verified local server session boundary exists but production identity is still using development fixtures,"src/lib/auth.tsx; src/lib/auth.functions.ts; src/lib/server-auth-core.ts; src/lib/server-auth.server.ts; reports/backend/D1-AUTH-REVIEW.md; npx playwright test auth-session.spec.ts 21/21",Integrate a real production identity provider without changing the verified session contract
AUTH-002,Session Storage,P1,REQUIRES DURABLE SESSION STORE,Session verification is server-side but the repository is still in-memory,"src/lib/server-auth-core.ts; reports/backend/D1-AUTH-REVIEW.md",Move sessions to durable backend storage before multi-instance deployment
AUTH-003,Authorization Context,P1,LOCAL SERVER ENFORCEMENT COMPLETE,Authenticated request context and verified actor contract now exist for protected server operations,"src/lib/auth-request-middleware.ts; src/lib/server-auth-core.ts; src/lib/server-auth.server.ts; reports/backend/05-authorization.md",Use this actor contract to enforce object-level authorization in D2+
AUTH-004,Development Identity,P1,LOCAL SERVER ENFORCEMENT COMPLETE,Development identity bypass is isolated to dev/test configuration and rejected in production-like modes,"src/lib/runtime-config.ts; src/lib/runtime-config.server.ts; src/server.ts; reports/backend/04-auth-security.md",Keep dev-only auth variables out of staging and production deployment config
AUTH-005,Client Boundary,P1,FIXED,TanStack Start browser graph no longer pulls server-only async_hooks dependencies at runtime,"src/lib/auth.functions.ts; src/lib/auth-request-middleware.ts; src/start.ts; scripts/check-client-boundary.mjs; npm run test:auth-boundary",Keep the client boundary script in validation so future server-only leaks fail fast
D2-001,User/Profile,P1,LOCAL SERVER ENFORCEMENT COMPLETE,User/profile reads and writes now pass through verified-session server repositories with server-side visibility filtering,"src/lib/social-repositories.server.ts; src/lib/social-authorization.server.ts; src/routes/profile.index.tsx; src/routes/profile.$id.tsx; src/routes/setup-profile.tsx; reports/backend/06-user-friends-privacy.md; npm run test:d2 17/17",Keep later domains consuming the same actor and profile-policy primitives
D2-002,Friends/Groups,P1,LOCAL SERVER ENFORCEMENT COMPLETE,Friend requests friendships and private friend groups are now enforced server-side with ownership and relationship checks,"src/lib/social-repositories.server.ts; src/routes/friends.index.tsx; src/routes/friends.requests.tsx; src/routes/add-friend.tsx; src/lib/gather-store.tsx; reports/backend/06-user-friends-privacy.md; npm run test:d2 17/17",Reuse these repositories for Gather audience resolution in later phases instead of duplicating group logic
D2-003,Privacy/Block,P1,LOCAL SERVER ENFORCEMENT COMPLETE,Privacy settings and block state are server-backed in the local adapter and object-level block enforcement now exists for D2 domains,"src/lib/privacy-store.tsx; src/lib/social-repositories.server.ts; src/lib/social-authorization.server.ts; src/routes/settings.privacy.tsx; reports/backend/06-user-friends-privacy.md; npm run test:e2e -- --reporter=dot 141/141",Extend the same block primitive to Gather Chat Notifications and later backend domains without changing the D2 contract
D2-004,D2 Persistence,P1,REQUIRES PRODUCTION DATABASE,D2 state is currently backed by a session-scoped in-memory server store for dev/test determinism only,"src/lib/social-store.server.ts; reports/backend/06-user-friends-privacy.md; reports/backend/D2-REVIEW.md",Replace the in-memory adapter with a durable shared database before production deployment
D2-005,Cross-Domain Block Enforcement,P1,PARTIALLY FIXED,Block is now authoritative for D2 D3 Presence D4 Gather and D5 Chat but Notifications and moderation still need backend enforcement,"src/lib/social-authorization.server.ts; src/lib/presence-repositories.server.ts; src/lib/gather-repositories.server.ts; src/lib/chat-repositories.server.ts; reports/backend/06-user-friends-privacy.md; reports/backend/D5-REVIEW.md; npx playwright test -c playwright.d2.config.ts tests/backend/d5-chat.spec.ts 8/8",Carry the D2 block primitive into Notifications and moderation backend migrations without changing the established contract
D2-006,Moderation,P2,REQUIRES BACKEND,Report submission is server-backed in the local adapter but there is still no durable moderation workflow or admin processing boundary,"src/lib/social-repositories.server.ts; reports/backend/06-user-friends-privacy.md",Add durable report storage moderation status transitions and admin interfaces in a later backend milestone
D3-001,Presence/Nearby Authority,P1,LOCAL SERVER ENFORCEMENT COMPLETE,Presence sessions nearby visibility friend snapshot sharing and active-area state are now enforced behind authenticated server repositories in the local dev/test adapter,"src/lib/presence-store.tsx; src/lib/presence-store.server.ts; src/lib/presence-api.server.ts; reports/backend/D3-PRESENCE-MAP.md; reports/backend/D3-REVIEW.md; npx playwright test -c playwright.d2.config.ts tests/backend/d3-presence.spec.ts 9/9",Keep the D1 actor and D2 policy boundary unchanged when moving the adapter to production infrastructure
D3-002,Presence Persistence,P1,REQUIRES PRODUCTION DATABASE,D3 presence state is server-authoritative in dev/test but still stored in an in-memory adapter rather than a durable shared database,"src/lib/presence-store.server.ts; reports/backend/07-presence-architecture.md; reports/backend/D3-REVIEW.md",Move PresenceSession NearbyPresence and FriendLocationSnapshot storage to the production database layer
D3-003,Presence Realtime,P1,REQUIRES PRODUCTION REALTIME INFRASTRUCTURE,D3 heartbeat and refresh semantics exist but production realtime fan-out and multi-instance presence propagation are not implemented,"src/lib/presence-contracts.ts; src/lib/presence-api.server.ts; reports/backend/07-presence-architecture.md",Add production realtime presence transport and fan-out without changing the current repository contract
D3-004,Presence Geospatial,P1,REQUIRES PRODUCTION GEO INFRASTRUCTURE,D3 uses deterministic dev/test area resolution and does not yet include production geospatial bucketing or area-query infrastructure,"src/lib/location-provider.ts; src/lib/presence-store.server.ts; reports/backend/07-presence-architecture.md",Implement the production nearby area resolver and server-side geospatial query infrastructure
D4-001,Gather Authority,P1,LOCAL SERVER ENFORCEMENT COMPLETE,Gather create read manage invite RSVP and end flows now run behind authenticated server repositories with owner co-host and invitee enforcement,"src/lib/gather-contracts.ts; src/lib/gather-store.server.ts; src/lib/gather-repositories.server.ts; src/lib/gather-api.server.ts; reports/backend/08-gather-backend.md; reports/backend/D4-REVIEW.md; tests/backend/d4-gather.spec.ts 6/6; npm run test:gather 21/21",Keep the D1 actor contract and D2 relationship/privacy primitives unchanged when moving D4 to production infrastructure
D4-002,Gather Persistence,P1,REQUIRES PRODUCTION DATABASE,D4 Gather state is server-authoritative only in the local dev/test adapter and is not yet durable or shared across production instances,"src/lib/gather-store.server.ts; reports/backend/08-gather-backend.md; reports/backend/D4-REVIEW.md",Move Gather records invite records co-host state and RSVP state to the production database layer
